key,en,fr,it,de,es,tr,tl,ru,ja,pt-br,tok,mis-edikan,mis-meow
RatingCategory.Theme.Description,"The game’s take on the theme, and how well it was used and executed.",,Interpretazione del tema da parte del gioco e quanto è stato sfruttato ed eseguito bene,,,Oyunun temayı ele alış biçimi ve temanın ne kadar iyi kullanılıp uygulandığı.,,Интерпретация темы в игре и насколько хорошо она использована и реализована.,,"A ideia do jogo do tema, e quão bem é usado e executado.",,,"Meow meow’meow meow meow meow meow, meow meow meow meow meow meow meow meow."
LeaderboardType.Score.Title,Score,,Punteggio,,,Skor,,Очки,,Pontuação,,,Meow
LeaderboardType.Score.Description,Highest Score,,Punteggio più alto,,,En Yüksek Skor,,Высочайшие Очки,,Maior Pontuação,,,Meow meow
LeaderboardType.Golf.Title,Golf,,Golf,,,Golf,,Гольф,,Golfe,,,Meow
LeaderboardType.Golf.Description,Lowest Score,,Punteggio più basso,,,En Düşük Skor,,Низшие Очки,,Menor Pontuação,,,Meow meow
LeaderboardType.Speedrun.Title,Speedrun,,Speedrun,,,Speedrun,,Спидран,,Speedrun,,,Meow
LeaderboardType.Speedrun.Description,Lowest Time,,Tempo più basso,,,En Düşük Zaman,,Низшее Время,,Menor Tempo,,,Meow meow
LeaderboardType.Endurance.Title,Endurance,,Resistenza,,,Dayanıklılık,,Выносливость,,Resistência,,,Meow
LeaderboardType.Endurance.Description,Highest Time,,Tempo più alto,,,En Yüksek Zaman,,Высшее Время,,Maior Tempo,,,Meow meow
General.NoDescription,No description,,Nessuna descrizione,,,Açıklama yok,,Без описания,,Sem descrição,,,Meow meow
